18.79.209.160>163.34.135.239,16,12
52.219.56.132>203.140.143.3,11,9
18.88.241.39>202.254.85.82,11,12
204.6.201.166>203.140.137.6,16,12
18.88.241.39>131.142.10.233,11,12
171.6.100.12>150.161.32.142,15,12
203.207.28.249>150.161.32.142,11,12
172.136.133.206>202.254.81.147,16,12
190.173.183.30>202.254.81.106,15,12
35.169.232.237>150.161.110.149,16,12
152.69.139.112>163.34.207.185,16,12
203.140.137.6>204.6.201.166,16,12
209.74.26.52>163.34.19.100,16,12
103.208.196.30>202.6.231.157,15,12
203.140.160.1>43.162.115.148,15,12
94.107.194.48>202.254.80.5,11,11
117.30.129.188>150.161.32.142,15,12
103.20.228.43>150.161.109.139,15,12
84.30.4.215>150.161.32.142,16,12
204.52.111.253>202.254.81.203,15,12
58.155.62.147>150.161.32.142,16,12
163.34.229.8>52.222.145.201,16,12
94.107.194.11>202.254.81.60,13,12
203.140.143.3>52.219.56.132,11,9
5.212.199.14>133.20.60.65,12,9
101.31.73.119>150.161.147.2,16,12
43.250.175.158>150.161.110.140,15,12
34.171.59.184>150.161.111.26,12,12
208.92.209.30>202.6.240.131,15,12
43.228.146.254>150.161.111.77,15,12
203.193.194.167>150.161.111.133,15,12
120.218.25.183>202.254.85.157,16,12
120.218.25.183>202.254.81.147,16,12
101.31.73.123>150.161.146.21,16,12
142.2.171.137>150.161.111.54,16,12
43.231.107.249>150.161.144.68,16,12
190.173.183.30>202.254.81.216,15,12
101.31.73.215>150.161.110.93,16,12
220.161.162.158>150.161.109.21,16,12
180.8.176.34>150.161.32.142,11,12
121.122.74.75>163.34.33.184,12,12
95.88.72.138>202.254.81.125,13,12
94.107.194.48>202.254.80.141,10,7
101.31.73.181>150.161.109.175,16,12
170.183.102.39>163.34.188.79,15,12
218.67.220.208>133.20.255.204,15,12
190.173.183.30>202.254.81.107,15,12
174.123.121.100>163.34.147.86,15,12
140.172.114.27>203.140.129.207,15,12
52.222.145.201>163.34.229.8,16,12
97.109.104.20>163.34.149.160,15,12
163.34.147.86>174.123.121.100,15,12
172.161.97.211>150.161.109.212,16,12
178.86.11.209>203.140.141.190,15,12
